symbol,date,time,open,high,low,close,volume
JNUG,2016-10-20,08:30:00,13.67,13.67,13.65,13.65,75959
JNUG,2016-10-20,08:35:00,13.64,13.74,13.49,13.65,143693
JNUG,2016-10-20,08:40:00,13.70,13.70,13.48,13.61,106356
JNUG,2016-10-20,08:45:00,13.61,13.70,13.45,13.70,89654
JNUG,2016-10-20,08:50:00,13.68,13.82,13.66,13.76,80949
JNUG,2016-10-20,08:55:00,13.75,13.75,13.55,13.55,81813
JNUG,2016-10-20,09:00:00,13.56,13.73,13.56,13.63,34777
JNUG,2016-10-20,09:05:00,13.63,13.67,13.48,13.48,103985
JNUG,2016-10-20,09:10:00,13.48,13.48,13.09,13.15,183343
JNUG,2016-10-20,09:15:00,13.17,13.28,13.08,13.26,65022
JNUG,2016-10-20,09:20:00,13.26,13.26,13.07,13.09,59299
JNUG,2016-10-20,09:25:00,13.07,13.08,12.83,12.86,110451
JNUG,2016-10-20,09:30:00,12.83,12.88,12.72,12.75,75114
JNUG,2016-10-20,09:35:00,12.75,12.85,12.57,12.80,109922
JNUG,2016-10-20,09:40:00,12.78,12.94,12.69,12.94,74034
JNUG,2016-10-20,09:45:00,12.93,13.00,12.89,12.89,78326
JNUG,2016-10-20,09:50:00,12.89,12.98,12.83,12.89,56527
JNUG,2016-10-20,09:55:00,12.89,12.90,12.78,12.81,38619
JNUG,2016-10-20,10:00:00,12.81,13.10,12.77,13.06,70141
JNUG,2016-10-20,10:05:00,13.07,13.15,13.00,13.07,40663
JNUG,2016-10-20,10:10:00,13.09,13.14,13.07,13.07,17826
JNUG,2016-10-20,10:15:00,13.07,13.07,12.92,12.95,45252
JNUG,2016-10-20,10:20:00,12.92,12.99,12.88,12.96,31572
JNUG,2016-10-20,10:25:00,12.98,13.15,12.98,13.09,26238
JNUG,2016-10-20,10:30:00,13.09,13.17,13.08,13.14,13105
JNUG,2016-10-20,10:35:00,13.14,13.14,13.02,13.05,32027
JNUG,2016-10-20,10:40:00,13.05,13.08,12.93,12.96,33341
JNUG,2016-10-20,10:45:00,12.94,13.04,12.90,13.00,28381
JNUG,2016-10-20,10:50:00,13.02,13.11,13.00,13.11,29615
JNUG,2016-10-20,10:55:00,13.10,13.11,12.94,12.94,27767
JNUG,2016-10-20,11:00:00,12.96,13.11,12.96,13.11,20008
JNUG,2016-10-20,11:05:00,13.12,13.22,13.09,13.14,51572
JNUG,2016-10-20,11:10:00,13.13,13.24,13.13,13.16,29118
JNUG,2016-10-20,11:15:00,13.17,13.23,13.06,13.08,70788
JNUG,2016-10-20,11:20:00,13.07,13.14,13.06,13.08,21855
JNUG,2016-10-20,11:25:00,13.08,13.09,13.04,13.04,32978
JNUG,2016-10-20,11:30:00,13.05,13.10,12.92,12.96,75080
JNUG,2016-10-20,11:35:00,12.96,12.98,12.91,12.93,24103
JNUG,2016-10-20,11:40:00,12.93,13.08,12.93,13.07,18988
JNUG,2016-10-20,11:45:00,13.07,13.08,12.98,12.98,83241
JNUG,2016-10-20,11:50:00,12.98,13.04,12.94,13.03,61414
JNUG,2016-10-20,11:55:00,13.04,13.09,12.98,12.98,13555
JNUG,2016-10-20,12:00:00,12.97,13.01,12.97,12.98,6399
JNUG,2016-10-20,12:05:00,12.99,13.07,12.99,13.07,35319
JNUG,2016-10-20,12:10:00,13.05,13.10,13.05,13.08,11844
JNUG,2016-10-20,12:15:00,13.10,13.11,13.04,13.04,4941
JNUG,2016-10-20,12:20:00,13.03,13.06,13.01,13.05,23112
JNUG,2016-10-20,12:25:00,13.03,13.03,12.99,13.00,13541
JNUG,2016-10-20,12:30:00,13.02,13.10,13.02,13.09,13781
JNUG,2016-10-20,12:35:00,13.09,13.17,13.09,13.15,16945
JNUG,2016-10-20,12:40:00,13.17,13.19,13.13,13.15,23476
JNUG,2016-10-20,12:45:00,13.15,13.17,13.11,13.11,19568
JNUG,2016-10-20,12:50:00,13.13,13.19,13.11,13.11,11872
JNUG,2016-10-20,12:55:00,13.10,13.13,13.01,13.05,24413
JNUG,2016-10-20,13:00:00,13.05,13.12,13.05,13.11,23511
JNUG,2016-10-20,13:05:00,13.12,13.15,13.07,13.11,12057
JNUG,2016-10-20,13:10:00,13.11,13.11,13.05,13.05,7426
JNUG,2016-10-20,13:15:00,13.04,13.08,13.04,13.08,13160
JNUG,2016-10-20,13:20:00,13.08,13.10,13.06,13.06,15470
JNUG,2016-10-20,13:25:00,13.07,13.09,13.05,13.08,11647
JNUG,2016-10-20,13:30:00,13.10,13.10,13.04,13.06,15555
JNUG,2016-10-20,13:35:00,13.07,13.15,13.06,13.12,26600
JNUG,2016-10-20,13:40:00,13.11,13.13,13.09,13.12,9628
JNUG,2016-10-20,13:45:00,13.12,13.17,13.12,13.12,13819
JNUG,2016-10-20,13:50:00,13.13,13.22,13.08,13.21,33843
JNUG,2016-10-20,13:55:00,13.21,13.25,13.18,13.23,25542
JNUG,2016-10-20,14:00:00,13.21,13.26,13.17,13.26,30478
JNUG,2016-10-20,14:05:00,13.25,13.25,13.18,13.18,12034
JNUG,2016-10-20,14:10:00,13.19,13.24,13.17,13.23,14180
JNUG,2016-10-20,14:15:00,13.23,13.34,13.23,13.30,25373
JNUG,2016-10-20,14:20:00,13.31,13.34,13.27,13.30,24534
JNUG,2016-10-20,14:25:00,13.29,13.35,13.24,13.26,27021
JNUG,2016-10-20,14:30:00,13.24,13.27,13.21,13.21,16692
JNUG,2016-10-20,14:35:00,13.21,13.26,13.20,13.26,27864
JNUG,2016-10-20,14:40:00,13.25,13.32,13.24,13.30,35373
JNUG,2016-10-20,14:45:00,13.29,13.33,13.26,13.29,47874
JNUG,2016-10-20,14:50:00,13.30,13.46,13.28,13.43,71874
JNUG,2016-10-20,14:55:00,13.43,13.44,13.38,13.41,55934
JNUG,2016-10-20,15:00:00,13.42,13.43,13.32,13.42,149245
JNUG,2016-10-21,08:30:00,13.12,13.12,13.12,13.12,51375
JNUG,2016-10-21,08:35:00,13.12,13.38,13.05,13.35,70518
JNUG,2016-10-21,08:40:00,13.36,13.37,13.14,13.14,49915
JNUG,2016-10-21,08:45:00,13.15,13.22,13.10,13.14,79676
JNUG,2016-10-21,08:50:00,13.12,13.15,13.03,13.03,66630
JNUG,2016-10-21,08:55:00,13.03,13.19,13.03,13.10,23952
JNUG,2016-10-21,09:00:00,13.11,13.11,13.04,13.06,22871
JNUG,2016-10-21,09:05:00,13.04,13.04,12.94,12.96,48652
JNUG,2016-10-21,09:10:00,13.00,13.15,13.00,13.15,69825
JNUG,2016-10-21,09:15:00,13.15,13.25,13.12,13.15,65731
JNUG,2016-10-21,09:20:00,13.13,13.29,13.09,13.22,25801
JNUG,2016-10-21,09:25:00,13.22,13.25,13.17,13.20,45144
JNUG,2016-10-21,09:30:00,13.18,13.18,13.04,13.09,52100
JNUG,2016-10-21,09:35:00,13.10,13.23,13.08,13.21,55863
JNUG,2016-10-21,09:40:00,13.23,13.23,13.15,13.18,23378
JNUG,2016-10-21,09:45:00,13.19,13.21,13.17,13.19,13022
JNUG,2016-10-21,09:50:00,13.17,13.27,13.17,13.26,36559
JNUG,2016-10-21,09:55:00,13.27,13.31,13.25,13.28,37731
JNUG,2016-10-21,10:00:00,13.29,13.29,13.22,13.28,35053
JNUG,2016-10-21,10:05:00,13.28,13.39,13.28,13.38,53897
JNUG,2016-10-21,10:10:00,13.40,13.45,13.33,13.37,42212
JNUG,2016-10-21,10:15:00,13.35,13.40,13.24,13.24,43795
JNUG,2016-10-21,10:20:00,13.25,13.33,13.25,13.30,39195
JNUG,2016-10-21,10:25:00,13.31,13.31,13.27,13.29,19330
JNUG,2016-10-21,10:30:00,13.27,13.38,13.27,13.38,32389
JNUG,2016-10-21,10:35:00,13.38,13.42,13.36,13.40,26144
JNUG,2016-10-21,10:40:00,13.39,13.39,13.29,13.29,20658
JNUG,2016-10-21,10:45:00,13.30,13.32,13.25,13.29,42229
JNUG,2016-10-21,10:50:00,13.30,13.35,13.29,13.31,25578
JNUG,2016-10-21,10:55:00,13.29,13.29,13.18,13.18,32588
JNUG,2016-10-21,11:00:00,13.20,13.21,13.05,13.08,46839
JNUG,2016-10-21,11:05:00,13.08,13.16,13.03,13.05,67566
JNUG,2016-10-21,11:10:00,13.07,13.24,13.07,13.18,46496
JNUG,2016-10-21,11:15:00,13.16,13.16,13.10,13.10,28719
JNUG,2016-10-21,11:20:00,13.09,13.11,13.02,13.06,40494
JNUG,2016-10-21,11:25:00,13.05,13.05,12.96,13.04,52928
JNUG,2016-10-21,11:30:00,13.05,13.13,13.04,13.05,29902
JNUG,2016-10-21,11:35:00,13.05,13.08,12.99,13.01,93501
JNUG,2016-10-21,11:40:00,13.00,13.08,12.96,13.03,104107
JNUG,2016-10-21,11:45:00,13.06,13.11,13.04,13.11,26908
JNUG,2016-10-21,11:50:00,13.10,13.14,13.08,13.08,21112
JNUG,2016-10-21,11:55:00,13.08,13.10,13.03,13.10,32047
JNUG,2016-10-21,12:00:00,13.10,13.19,13.10,13.19,40334
JNUG,2016-10-21,12:05:00,13.18,13.24,13.13,13.23,52824
JNUG,2016-10-21,12:10:00,13.23,13.27,13.21,13.27,35821
JNUG,2016-10-21,12:15:00,13.27,13.34,13.24,13.30,39547
JNUG,2016-10-21,12:20:00,13.30,13.35,13.27,13.27,44185
JNUG,2016-10-21,12:25:00,13.22,13.23,13.17,13.20,36975
JNUG,2016-10-21,12:30:00,13.20,13.28,13.20,13.25,21571
JNUG,2016-10-21,12:35:00,13.24,13.25,13.18,13.18,5342
JNUG,2016-10-21,12:40:00,13.19,13.21,13.18,13.21,1358
JNUG,2016-10-21,12:45:00,13.20,13.25,13.20,13.25,9720
JNUG,2016-10-21,12:50:00,13.24,13.31,13.20,13.28,18848
JNUG,2016-10-21,12:55:00,13.30,13.31,13.25,13.26,20613
JNUG,2016-10-21,13:00:00,13.30,13.32,13.27,13.29,16976
JNUG,2016-10-21,13:05:00,13.30,13.31,13.25,13.25,9772
JNUG,2016-10-21,13:10:00,13.24,13.26,13.24,13.26,2957
JNUG,2016-10-21,13:15:00,13.26,13.33,13.26,13.31,13767
JNUG,2016-10-21,13:20:00,13.33,13.34,13.28,13.32,9600
JNUG,2016-10-21,13:25:00,13.33,13.34,13.32,13.33,12426
JNUG,2016-10-21,13:30:00,13.35,13.36,13.29,13.29,10400
JNUG,2016-10-21,13:35:00,13.28,13.30,13.23,13.30,23848
JNUG,2016-10-21,13:40:00,13.27,13.29,13.26,13.28,13158
JNUG,2016-10-21,13:45:00,13.30,13.30,13.29,13.30,6434
JNUG,2016-10-21,13:50:00,13.28,13.28,13.25,13.28,17899
JNUG,2016-10-21,13:55:00,13.28,13.28,13.23,13.27,20884
JNUG,2016-10-21,14:00:00,13.26,13.38,13.25,13.35,20365
JNUG,2016-10-21,14:05:00,13.38,13.46,13.38,13.42,53749
JNUG,2016-10-21,14:10:00,13.40,13.41,13.35,13.38,17656
JNUG,2016-10-21,14:15:00,13.39,13.40,13.30,13.30,17946
JNUG,2016-10-21,14:20:00,13.30,13.33,13.29,13.29,7075
JNUG,2016-10-21,14:25:00,13.31,13.34,13.26,13.27,14315
JNUG,2016-10-21,14:30:00,13.26,13.30,13.25,13.25,19602
JNUG,2016-10-21,14:35:00,13.25,13.34,13.25,13.31,17158
JNUG,2016-10-21,14:40:00,13.31,13.37,13.31,13.37,20019
JNUG,2016-10-21,14:45:00,13.38,13.38,13.34,13.35,10597
JNUG,2016-10-21,14:50:00,13.34,13.41,13.33,13.41,31170
JNUG,2016-10-21,14:55:00,13.40,13.41,13.36,13.39,5455
JNUG,2016-10-21,15:00:00,13.40,13.47,13.39,13.44,180849
JNUG,2016-10-24,08:30:00,13.92,13.92,13.90,13.90,104025
JNUG,2016-10-24,08:35:00,13.94,13.96,13.70,13.83,133253
JNUG,2016-10-24,08:40:00,13.83,13.83,13.62,13.70,46727
JNUG,2016-10-24,08:45:00,13.71,13.91,13.71,13.89,48899
JNUG,2016-10-24,08:50:00,13.83,13.85,13.67,13.72,74242
JNUG,2016-10-24,08:55:00,13.74,13.74,13.56,13.57,58818
JNUG,2016-10-24,09:00:00,13.58,13.62,13.40,13.40,70808
JNUG,2016-10-24,09:05:00,13.38,13.47,13.28,13.37,75995
JNUG,2016-10-24,09:10:00,13.35,13.35,13.16,13.30,63850
JNUG,2016-10-24,09:15:00,13.27,13.28,12.97,12.97,90836
JNUG,2016-10-24,09:20:00,12.96,13.11,12.90,13.11,78595
JNUG,2016-10-24,09:25:00,13.08,13.24,13.06,13.11,79080
JNUG,2016-10-24,09:30:00,13.10,13.11,12.95,13.04,73549
JNUG,2016-10-24,09:35:00,13.04,13.15,13.02,13.13,40538
JNUG,2016-10-24,09:40:00,13.10,13.10,13.01,13.06,41143
JNUG,2016-10-24,09:45:00,13.04,13.05,12.92,12.93,50908
JNUG,2016-10-24,09:50:00,12.93,12.96,12.73,12.77,105528
JNUG,2016-10-24,09:55:00,12.77,12.79,12.43,12.48,251412
JNUG,2016-10-24,10:00:00,12.49,12.66,12.48,12.62,55552
JNUG,2016-10-24,10:05:00,12.59,12.61,12.51,12.51,31216
JNUG,2016-10-24,10:10:00,12.51,12.51,12.00,12.16,254844
JNUG,2016-10-24,10:15:00,12.14,12.17,12.05,12.10,60855
JNUG,2016-10-24,10:20:00,12.10,12.31,12.10,12.16,71389
JNUG,2016-10-24,10:25:00,12.15,12.20,12.00,12.07,44499
JNUG,2016-10-24,10:30:00,12.06,12.10,12.02,12.10,47759
JNUG,2016-10-24,10:35:00,12.10,12.39,12.10,12.30,96932
JNUG,2016-10-24,10:40:00,12.28,12.34,12.20,12.23,48790
JNUG,2016-10-24,10:45:00,12.20,12.20,12.09,12.12,28304
JNUG,2016-10-24,10:50:00,12.11,12.19,12.05,12.15,16757
JNUG,2016-10-24,10:55:00,12.14,12.24,12.13,12.14,27790
JNUG,2016-10-24,11:00:00,12.15,12.15,12.06,12.06,27946
JNUG,2016-10-24,11:05:00,12.05,12.10,12.02,12.06,28771
JNUG,2016-10-24,11:10:00,12.10,12.15,12.09,12.09,16644
JNUG,2016-10-24,11:15:00,12.09,12.14,12.04,12.05,27484
JNUG,2016-10-24,11:20:00,12.05,12.14,12.05,12.08,17731
JNUG,2016-10-24,11:25:00,12.10,12.15,12.03,12.03,53116
JNUG,2016-10-24,11:30:00,12.02,12.07,12.02,12.03,54808
JNUG,2016-10-24,11:35:00,12.04,12.04,12.00,12.04,76046
JNUG,2016-10-24,11:40:00,12.02,12.02,11.94,12.00,72136
JNUG,2016-10-24,11:45:00,11.98,12.04,11.98,12.04,19214
JNUG,2016-10-24,11:50:00,12.03,12.06,11.95,11.96,27837
JNUG,2016-10-24,11:55:00,11.95,11.95,11.90,11.92,20744
JNUG,2016-10-24,12:00:00,11.91,11.97,11.91,11.96,8395
JNUG,2016-10-24,12:05:00,11.97,12.13,11.97,12.12,49681
JNUG,2016-10-24,12:10:00,12.12,12.12,12.02,12.05,14797
JNUG,2016-10-24,12:15:00,12.05,12.07,12.01,12.03,20449
JNUG,2016-10-24,12:20:00,12.01,12.09,12.01,12.06,10103
JNUG,2016-10-24,12:25:00,12.05,12.06,11.97,12.01,13876
JNUG,2016-10-24,12:30:00,11.99,12.02,11.93,11.95,13394
JNUG,2016-10-24,12:35:00,11.92,11.97,11.92,11.96,13371
JNUG,2016-10-24,12:40:00,11.97,11.99,11.92,11.92,24759
JNUG,2016-10-24,12:45:00,11.93,11.94,11.90,11.92,18797
JNUG,2016-10-24,12:50:00,11.93,11.93,11.90,11.93,17193
JNUG,2016-10-24,12:55:00,11.96,12.02,11.94,11.96,14746
JNUG,2016-10-24,13:00:00,11.96,11.99,11.92,11.92,12444
JNUG,2016-10-24,13:05:00,11.93,11.98,11.92,11.92,7265
JNUG,2016-10-24,13:10:00,11.93,12.06,11.93,12.06,37651
JNUG,2016-10-24,13:15:00,12.06,12.11,12.06,12.09,21588
JNUG,2016-10-24,13:20:00,12.08,12.12,12.08,12.12,20011
JNUG,2016-10-24,13:25:00,12.06,12.11,12.04,12.08,17852
JNUG,2016-10-24,13:30:00,12.08,12.22,12.08,12.21,29939
JNUG,2016-10-24,13:35:00,12.22,12.29,12.18,12.28,57807
JNUG,2016-10-24,13:40:00,12.28,12.36,12.21,12.26,29936
JNUG,2016-10-24,13:45:00,12.24,12.30,12.22,12.30,18899
JNUG,2016-10-24,13:50:00,12.32,12.42,12.29,12.38,26861
JNUG,2016-10-24,13:55:00,12.37,12.40,12.34,12.40,12905
JNUG,2016-10-24,14:00:00,12.41,12.43,12.31,12.33,29111
JNUG,2016-10-24,14:05:00,12.33,12.34,12.29,12.30,16503
JNUG,2016-10-24,14:10:00,12.31,12.38,12.29,12.35,16441
JNUG,2016-10-24,14:15:00,12.38,12.41,12.37,12.41,8838
JNUG,2016-10-24,14:20:00,12.37,12.39,12.34,12.34,12727
JNUG,2016-10-24,14:25:00,12.34,12.38,12.33,12.36,10838
JNUG,2016-10-24,14:30:00,12.35,12.41,12.35,12.40,29660
JNUG,2016-10-24,14:35:00,12.40,12.43,12.35,12.42,14698
JNUG,2016-10-24,14:40:00,12.43,12.50,12.37,12.45,44469
JNUG,2016-10-24,14:45:00,12.43,12.44,12.33,12.36,13754
JNUG,2016-10-24,14:50:00,12.35,12.39,12.35,12.38,8172
JNUG,2016-10-24,14:55:00,12.34,12.36,12.32,12.36,13082
JNUG,2016-10-24,15:00:00,12.37,12.42,12.31,12.42,189020
JNUG,2016-10-25,08:30:00,12.81,12.81,12.81,12.81,76514
JNUG,2016-10-25,08:35:00,12.79,12.91,12.70,12.70,145465
JNUG,2016-10-25,08:40:00,12.72,12.87,12.71,12.73,45661
JNUG,2016-10-25,08:45:00,12.77,12.87,12.74,12.77,29323
JNUG,2016-10-25,08:50:00,12.79,12.93,12.77,12.81,54263
JNUG,2016-10-25,08:55:00,12.82,12.82,12.45,12.49,84026
JNUG,2016-10-25,09:00:00,12.54,12.64,12.54,12.61,26532
JNUG,2016-10-25,09:05:00,12.61,12.80,12.61,12.70,50656
JNUG,2016-10-25,09:10:00,12.70,12.75,12.62,12.70,39223
JNUG,2016-10-25,09:15:00,12.66,12.67,12.54,12.56,37109
JNUG,2016-10-25,09:20:00,12.57,12.73,12.57,12.71,20256
JNUG,2016-10-25,09:25:00,12.72,12.74,12.62,12.62,18940
JNUG,2016-10-25,09:30:00,12.61,12.62,12.50,12.58,39978
JNUG,2016-10-25,09:35:00,12.60,12.68,12.56,12.64,16515
JNUG,2016-10-25,09:40:00,12.62,12.77,12.62,12.76,31187
JNUG,2016-10-25,09:45:00,12.76,12.84,12.70,12.73,26652
JNUG,2016-10-25,09:50:00,12.72,12.89,12.72,12.86,63500
JNUG,2016-10-25,09:55:00,12.87,12.92,12.84,12.90,69766
JNUG,2016-10-25,10:00:00,12.91,12.96,12.81,12.94,60537
JNUG,2016-10-25,10:05:00,12.94,13.18,12.94,13.18,80723
JNUG,2016-10-25,10:10:00,13.19,13.32,13.16,13.32,95828
JNUG,2016-10-25,10:15:00,13.32,13.42,13.30,13.30,65253
JNUG,2016-10-25,10:20:00,13.30,13.30,13.20,13.27,48514
JNUG,2016-10-25,10:25:00,13.28,13.28,13.19,13.19,35330
JNUG,2016-10-25,10:30:00,13.20,13.31,13.20,13.31,61931
JNUG,2016-10-25,10:35:00,13.30,13.50,13.30,13.47,99725
JNUG,2016-10-25,10:40:00,13.45,13.57,13.44,13.52,150249
JNUG,2016-10-25,10:45:00,13.52,13.56,13.45,13.50,30483
