symbol,date,time,open,high,low,close,volume
MCIG,2016-12-30,08:30:00,0.18,0.18,0.18,0.18,6697
MCIG,2016-12-30,08:35:00,0.18,0.18,0.17,0.17,291992
MCIG,2016-12-30,08:40:00,0.18,0.18,0.17,0.18,207369
MCIG,2016-12-30,08:45:00,0.18,0.18,0.18,0.18,187438
MCIG,2016-12-30,08:50:00,0.18,0.18,0.18,0.18,115520
MCIG,2016-12-30,08:55:00,0.18,0.18,0.17,0.18,252080
MCIG,2016-12-30,09:00:00,0.18,0.18,0.18,0.18,26282
MCIG,2016-12-30,09:05:00,0.18,0.18,0.18,0.18,32923
MCIG,2016-12-30,09:10:00,0.18,0.18,0.18,0.18,44816
MCIG,2016-12-30,09:15:00,0.18,0.18,0.18,0.18,17592
MCIG,2016-12-30,09:20:00,0.18,0.18,0.18,0.18,48523
MCIG,2016-12-30,09:25:00,0.18,0.18,0.18,0.18,33099
MCIG,2016-12-30,09:30:00,0.18,0.18,0.18,0.18,54300
MCIG,2016-12-30,09:35:00,0.18,0.18,0.18,0.18,30650
MCIG,2016-12-30,09:40:00,0.18,0.18,0.18,0.18,18414
MCIG,2016-12-30,09:45:00,0.18,0.18,0.17,0.17,155650
MCIG,2016-12-30,09:50:00,0.18,0.18,0.18,0.18,75758
MCIG,2016-12-30,09:55:00,0.18,0.18,0.17,0.18,193325
MCIG,2016-12-30,10:00:00,0.17,0.18,0.17,0.18,9388
MCIG,2016-12-30,10:05:00,0.18,0.18,0.18,0.18,26065
MCIG,2016-12-30,10:10:00,0.18,0.18,0.18,0.18,44500
MCIG,2016-12-30,10:15:00,0.18,0.18,0.18,0.18,116125
MCIG,2016-12-30,10:20:00,0.18,0.18,0.18,0.18,38711
MCIG,2016-12-30,10:25:00,0.18,0.18,0.18,0.18,5350
MCIG,2016-12-30,10:30:00,0.18,0.18,0.18,0.18,5793
MCIG,2016-12-30,10:35:00,0.18,0.18,0.18,0.18,18661
MCIG,2016-12-30,10:40:00,0.18,0.18,0.18,0.18,7188
MCIG,2016-12-30,10:45:00,0.18,0.18,0.18,0.18,81340
MCIG,2016-12-30,10:50:00,0.18,0.18,0.18,0.18,5200
MCIG,2016-12-30,10:55:00,0.18,0.18,0.18,0.18,17251
MCIG,2016-12-30,11:00:00,0.18,0.18,0.18,0.18,15125
MCIG,2016-12-30,11:05:00,0.18,0.18,0.18,0.18,80921
MCIG,2016-12-30,11:10:00,0.18,0.18,0.18,0.18,2695
MCIG,2016-12-30,11:15:00,0.18,0.18,0.18,0.18,13000
MCIG,2016-12-30,11:20:00,0.18,0.18,0.18,0.18,37550
MCIG,2016-12-30,11:25:00,0.18,0.18,0.18,0.18,5000
MCIG,2016-12-30,11:30:00,0.18,0.18,0.18,0.18,28464
MCIG,2016-12-30,11:35:00,0.18,0.18,0.18,0.18,163990
MCIG,2016-12-30,11:40:00,0.18,0.18,0.18,0.18,17936
MCIG,2016-12-30,11:45:00,0.18,0.18,0.18,0.18,10325
MCIG,2016-12-30,11:50:00,0.18,0.18,0.18,0.18,30500
MCIG,2016-12-30,11:55:00,0.18,0.18,0.18,0.18,46000
MCIG,2016-12-30,12:00:00,0.18,0.18,0.18,0.18,159338
MCIG,2016-12-30,12:05:00,0.18,0.18,0.18,0.18,104917
MCIG,2016-12-30,12:10:00,0.18,0.18,0.18,0.18,109300
MCIG,2016-12-30,12:15:00,0.18,0.18,0.18,0.18,48283
MCIG,2016-12-30,12:20:00,0.18,0.18,0.18,0.18,166424
MCIG,2016-12-30,12:25:00,0.19,0.19,0.19,0.19,76477
MCIG,2016-12-30,12:30:00,0.19,0.19,0.19,0.19,20200
MCIG,2016-12-30,12:35:00,0.19,0.19,0.19,0.19,43900
MCIG,2016-12-30,12:40:00,0.19,0.19,0.19,0.19,12500
MCIG,2016-12-30,12:45:00,0.19,0.19,0.19,0.19,11251
MCIG,2016-12-30,12:50:00,0.19,0.19,0.18,0.19,55060
MCIG,2016-12-30,12:55:00,0.19,0.19,0.19,0.19,64390
MCIG,2016-12-30,13:00:00,0.19,0.19,0.19,0.19,89154
MCIG,2016-12-30,13:05:00,0.19,0.19,0.19,0.19,46500
MCIG,2016-12-30,13:10:00,0.19,0.19,0.19,0.19,232342
MCIG,2016-12-30,13:15:00,0.19,0.19,0.19,0.19,192714
MCIG,2016-12-30,13:20:00,0.19,0.19,0.19,0.19,268862
MCIG,2016-12-30,13:25:00,0.19,0.19,0.19,0.19,44165
MCIG,2016-12-30,13:30:00,0.19,0.19,0.19,0.19,378113
MCIG,2016-12-30,13:35:00,0.19,0.19,0.19,0.19,198770
MCIG,2016-12-30,13:40:00,0.19,0.19,0.19,0.19,14463
MCIG,2016-12-30,13:45:00,0.19,0.19,0.19,0.19,61091
MCIG,2016-12-30,13:50:00,0.19,0.19,0.19,0.19,555
MCIG,2016-12-30,13:55:00,0.19,0.19,0.19,0.19,22400
MCIG,2016-12-30,14:00:00,0.19,0.19,0.19,0.19,4990
MCIG,2016-12-30,14:05:00,0.19,0.19,0.19,0.19,86870
MCIG,2016-12-30,14:10:00,0.19,0.19,0.19,0.19,48829
MCIG,2016-12-30,14:15:00,0.19,0.19,0.19,0.19,44800
MCIG,2016-12-30,14:20:00,0.19,0.19,0.19,0.19,26857
MCIG,2016-12-30,14:25:00,0.19,0.19,0.19,0.19,20344
MCIG,2016-12-30,14:30:00,0.19,0.19,0.19,0.19,30400
MCIG,2016-12-30,14:35:00,0.19,0.19,0.19,0.19,122294
MCIG,2016-12-30,14:40:00,0.19,0.19,0.19,0.19,198500
MCIG,2016-12-30,14:45:00,0.19,0.19,0.19,0.19,226400
MCIG,2016-12-30,14:50:00,0.19,0.19,0.19,0.19,102762
MCIG,2016-12-30,14:55:00,0.19,0.19,0.19,0.19,124615
MCIG,2016-12-30,15:00:00,0.19,0.19,0.19,0.19,158108
MCIG,2017-01-03,08:30:00,0.20,0.20,0.20,0.20,4254
MCIG,2017-01-03,08:35:00,0.19,0.20,0.19,0.20,461328
MCIG,2017-01-03,08:40:00,0.20,0.20,0.19,0.20,187944
MCIG,2017-01-03,08:45:00,0.20,0.20,0.20,0.20,519618
MCIG,2017-01-03,08:50:00,0.20,0.21,0.20,0.21,479858
MCIG,2017-01-03,08:55:00,0.21,0.21,0.20,0.21,197375
MCIG,2017-01-03,09:00:00,0.21,0.21,0.20,0.21,184571
MCIG,2017-01-03,09:05:00,0.21,0.21,0.20,0.21,104450
MCIG,2017-01-03,09:10:00,0.21,0.21,0.21,0.21,188624
MCIG,2017-01-03,09:15:00,0.21,0.21,0.21,0.21,173733
MCIG,2017-01-03,09:20:00,0.21,0.21,0.20,0.20,347302
MCIG,2017-01-03,09:25:00,0.21,0.21,0.20,0.20,520471
MCIG,2017-01-03,09:30:00,0.20,0.20,0.20,0.20,93135
MCIG,2017-01-03,09:35:00,0.20,0.20,0.19,0.20,277280
MCIG,2017-01-03,09:40:00,0.20,0.20,0.20,0.20,120199
MCIG,2017-01-03,09:45:00,0.20,0.20,0.20,0.20,50942
MCIG,2017-01-03,09:50:00,0.20,0.20,0.20,0.20,225853
MCIG,2017-01-03,09:55:00,0.20,0.20,0.20,0.20,28679
MCIG,2017-01-03,10:00:00,0.20,0.20,0.19,0.19,92283
MCIG,2017-01-03,10:05:00,0.19,0.19,0.19,0.19,23200
MCIG,2017-01-03,10:10:00,0.19,0.19,0.19,0.19,20800
MCIG,2017-01-03,10:15:00,0.19,0.19,0.19,0.19,65393
MCIG,2017-01-03,10:20:00,0.19,0.19,0.19,0.19,129752
MCIG,2017-01-03,10:25:00,0.19,0.19,0.19,0.19,37565
MCIG,2017-01-03,10:30:00,0.19,0.19,0.19,0.19,321489
MCIG,2017-01-03,10:35:00,0.19,0.19,0.19,0.19,74500
MCIG,2017-01-03,10:40:00,0.19,0.20,0.19,0.19,74861
MCIG,2017-01-03,10:45:00,0.20,0.20,0.20,0.20,20700
MCIG,2017-01-03,10:50:00,0.20,0.20,0.20,0.20,37601
MCIG,2017-01-03,10:55:00,0.20,0.20,0.20,0.20,13905
MCIG,2017-01-03,11:00:00,0.20,0.20,0.20,0.20,24645
MCIG,2017-01-03,11:05:00,0.20,0.20,0.20,0.20,30014
MCIG,2017-01-03,11:10:00,0.20,0.20,0.20,0.20,19700
MCIG,2017-01-03,11:15:00,0.20,0.20,0.20,0.20,55600
MCIG,2017-01-03,11:20:00,0.20,0.20,0.19,0.19,144702
MCIG,2017-01-03,11:25:00,0.19,0.20,0.19,0.20,38300
MCIG,2017-01-03,11:30:00,0.20,0.20,0.20,0.20,90735
MCIG,2017-01-03,11:35:00,0.20,0.20,0.20,0.20,20880
MCIG,2017-01-03,11:40:00,0.20,0.20,0.20,0.20,68066
MCIG,2017-01-03,11:45:00,0.20,0.20,0.20,0.20,39600
MCIG,2017-01-03,11:50:00,0.20,0.20,0.20,0.20,48875
MCIG,2017-01-03,11:55:00,0.20,0.20,0.20,0.20,43272
MCIG,2017-01-03,12:00:00,0.20,0.20,0.20,0.20,34615
MCIG,2017-01-03,12:05:00,0.20,0.20,0.20,0.20,107548
MCIG,2017-01-03,12:10:00,0.20,0.20,0.20,0.20,19000
MCIG,2017-01-03,12:15:00,0.20,0.20,0.20,0.20,11500
MCIG,2017-01-03,12:20:00,0.20,0.20,0.20,0.20,44500
