symbol,date,time,open,high,low,close,volume
NAK,2016-10-20,08:35:00,0.72,0.72,0.70,0.71,18803
NAK,2016-10-20,08:40:00,0.71,0.71,0.70,0.70,24336
NAK,2016-10-20,08:45:00,0.70,0.70,0.70,0.70,6395
NAK,2016-10-20,08:50:00,0.70,0.71,0.70,0.70,6410
NAK,2016-10-20,08:55:00,0.71,0.71,0.71,0.71,4300
NAK,2016-10-20,09:00:00,0.71,0.71,0.70,0.70,22775
NAK,2016-10-20,09:05:00,0.70,0.70,0.70,0.70,250
NAK,2016-10-20,09:10:00,0.70,0.70,0.70,0.70,45820
NAK,2016-10-20,09:15:00,0.70,0.71,0.70,0.71,40849
NAK,2016-10-20,09:20:00,0.70,0.70,0.70,0.70,2845
NAK,2016-10-20,09:25:00,0.69,0.70,0.69,0.69,15650
NAK,2016-10-20,09:30:00,0.69,0.69,0.69,0.69,19764
NAK,2016-10-20,09:35:00,0.69,0.69,0.68,0.68,17219
NAK,2016-10-20,09:40:00,0.68,0.68,0.67,0.67,15813
NAK,2016-10-20,09:50:00,0.68,0.68,0.67,0.68,9307
NAK,2016-10-20,09:55:00,0.67,0.69,0.67,0.68,1899
NAK,2016-10-20,10:00:00,0.68,0.68,0.67,0.68,7968
NAK,2016-10-20,10:05:00,0.68,0.68,0.67,0.67,9654
NAK,2016-10-20,10:10:00,0.67,0.67,0.67,0.67,400
NAK,2016-10-20,10:15:00,0.68,0.68,0.67,0.67,2350
NAK,2016-10-20,10:20:00,0.67,0.67,0.67,0.67,300
NAK,2016-10-20,10:25:00,0.67,0.67,0.67,0.67,1000
NAK,2016-10-20,10:30:00,0.67,0.67,0.67,0.67,100
NAK,2016-10-20,10:35:00,0.68,0.68,0.67,0.67,700
NAK,2016-10-20,10:40:00,0.67,0.68,0.67,0.68,2500
NAK,2016-10-20,10:45:00,0.68,0.68,0.67,0.67,4299
NAK,2016-10-20,10:50:00,0.67,0.67,0.67,0.67,10000
NAK,2016-10-20,10:55:00,0.68,0.68,0.67,0.67,300
NAK,2016-10-20,11:00:00,0.67,0.67,0.67,0.67,100
NAK,2016-10-20,11:05:00,0.68,0.68,0.68,0.68,4457
NAK,2016-10-20,11:10:00,0.68,0.68,0.68,0.68,100
NAK,2016-10-20,11:15:00,0.68,0.68,0.68,0.68,1000
NAK,2016-10-20,11:20:00,0.68,0.68,0.68,0.68,6200
NAK,2016-10-20,11:25:00,0.68,0.68,0.68,0.68,300
NAK,2016-10-20,11:30:00,0.68,0.68,0.68,0.68,3200
NAK,2016-10-20,11:40:00,0.68,0.68,0.68,0.68,7500
NAK,2016-10-20,11:45:00,0.68,0.69,0.68,0.68,9275
NAK,2016-10-20,12:00:00,0.68,0.68,0.68,0.68,1000
NAK,2016-10-20,12:05:00,0.68,0.68,0.67,0.68,19708
NAK,2016-10-20,12:15:00,0.68,0.69,0.68,0.69,5900
NAK,2016-10-20,12:20:00,0.69,0.69,0.69,0.69,14383
NAK,2016-10-20,12:25:00,0.69,0.69,0.69,0.69,31812
NAK,2016-10-20,12:40:00,0.69,0.69,0.68,0.68,1549
NAK,2016-10-20,12:50:00,0.68,0.68,0.68,0.68,143
NAK,2016-10-20,12:55:00,0.68,0.68,0.68,0.68,2145
NAK,2016-10-20,13:00:00,0.69,0.69,0.68,0.68,600
NAK,2016-10-20,13:15:00,0.69,0.69,0.69,0.69,125
NAK,2016-10-20,13:30:00,0.69,0.69,0.68,0.68,400
NAK,2016-10-20,13:35:00,0.68,0.68,0.68,0.68,200
NAK,2016-10-20,13:40:00,0.69,0.69,0.69,0.69,6800
NAK,2016-10-20,13:50:00,0.69,0.69,0.69,0.69,8100
NAK,2016-10-20,14:00:00,0.69,0.69,0.68,0.68,500
NAK,2016-10-20,14:10:00,0.69,0.69,0.69,0.69,500
NAK,2016-10-20,14:20:00,0.69,0.69,0.69,0.69,28000
NAK,2016-10-20,14:25:00,0.69,0.69,0.68,0.68,1300
NAK,2016-10-20,14:30:00,0.68,0.68,0.68,0.68,5900
NAK,2016-10-20,14:35:00,0.68,0.68,0.68,0.68,6100
NAK,2016-10-20,14:40:00,0.68,0.68,0.68,0.68,6400
NAK,2016-10-20,14:45:00,0.68,0.68,0.68,0.68,8399
NAK,2016-10-20,14:50:00,0.68,0.69,0.68,0.69,8900
NAK,2016-10-20,14:55:00,0.69,0.70,0.69,0.70,9900
NAK,2016-10-20,15:00:00,0.70,0.70,0.69,0.70,64961
NAK,2016-10-21,08:35:00,0.71,0.71,0.70,0.70,23020
NAK,2016-10-21,08:40:00,0.70,0.70,0.69,0.69,24116
NAK,2016-10-21,08:45:00,0.69,0.69,0.69,0.69,2500
NAK,2016-10-21,08:55:00,0.70,0.70,0.70,0.70,1500
NAK,2016-10-21,09:05:00,0.70,0.70,0.69,0.70,22800
NAK,2016-10-21,09:15:00,0.69,0.70,0.69,0.69,2600
NAK,2016-10-21,09:25:00,0.69,0.69,0.69,0.69,1176
NAK,2016-10-21,09:30:00,0.69,0.69,0.69,0.69,1475
NAK,2016-10-21,09:35:00,0.70,0.70,0.70,0.70,1000
NAK,2016-10-21,09:40:00,0.69,0.69,0.69,0.69,1000
NAK,2016-10-21,09:45:00,0.70,0.70,0.69,0.70,8713
NAK,2016-10-21,09:50:00,0.69,0.69,0.69,0.69,5100
NAK,2016-10-21,09:55:00,0.69,0.69,0.69,0.69,600
