symbol,date,time,open,high,low,close,volume
OPK,2016-10-20,08:30:00,9.46,9.46,9.31,9.31,19050
OPK,2016-10-20,08:35:00,9.32,9.35,9.30,9.35,31593
OPK,2016-10-20,08:40:00,9.35,9.38,9.32,9.32,50417
OPK,2016-10-20,08:45:00,9.32,9.38,9.32,9.38,19038
OPK,2016-10-20,08:50:00,9.38,9.44,9.38,9.43,37808
OPK,2016-10-20,08:55:00,9.43,9.43,9.38,9.39,35679
OPK,2016-10-20,09:00:00,9.38,9.39,9.36,9.38,30955
OPK,2016-10-20,09:05:00,9.38,9.44,9.38,9.44,39474
OPK,2016-10-20,09:10:00,9.44,9.44,9.41,9.41,24840
OPK,2016-10-20,09:15:00,9.40,9.41,9.37,9.38,46633
OPK,2016-10-20,09:20:00,9.38,9.38,9.34,9.34,50423
OPK,2016-10-20,09:25:00,9.34,9.36,9.34,9.36,20473
OPK,2016-10-20,09:30:00,9.36,9.36,9.32,9.34,30968
OPK,2016-10-20,09:35:00,9.34,9.34,9.30,9.30,27828
OPK,2016-10-20,09:40:00,9.30,9.30,9.27,9.29,42314
OPK,2016-10-20,09:45:00,9.29,9.30,9.28,9.28,27452
OPK,2016-10-20,09:50:00,9.29,9.29,9.26,9.27,19500
OPK,2016-10-20,09:55:00,9.27,9.27,9.23,9.24,53307
OPK,2016-10-20,10:00:00,9.25,9.25,9.23,9.24,25718
OPK,2016-10-20,10:05:00,9.24,9.25,9.21,9.21,36897
OPK,2016-10-20,10:10:00,9.21,9.21,9.19,9.20,35588
OPK,2016-10-20,10:15:00,9.20,9.24,9.19,9.24,63269
OPK,2016-10-20,10:20:00,9.24,9.27,9.23,9.27,58641
OPK,2016-10-20,10:25:00,9.27,9.29,9.27,9.29,32493
OPK,2016-10-20,10:30:00,9.29,9.32,9.29,9.30,57680
OPK,2016-10-20,10:35:00,9.30,9.31,9.29,9.30,25915
OPK,2016-10-20,10:40:00,9.29,9.30,9.27,9.27,23173
OPK,2016-10-20,10:45:00,9.28,9.28,9.27,9.28,8406
OPK,2016-10-20,10:50:00,9.28,9.30,9.27,9.29,26109
OPK,2016-10-20,10:55:00,9.29,9.30,9.27,9.27,40468
OPK,2016-10-20,11:00:00,9.27,9.31,9.25,9.31,52399
OPK,2016-10-20,11:05:00,9.30,9.34,9.30,9.30,25890
OPK,2016-10-20,11:10:00,9.30,9.32,9.29,9.30,18881
OPK,2016-10-20,11:15:00,9.31,9.31,9.30,9.31,7000
OPK,2016-10-20,11:20:00,9.31,9.33,9.30,9.32,15700
OPK,2016-10-20,11:25:00,9.33,9.33,9.32,9.32,7808
OPK,2016-10-20,11:30:00,9.32,9.32,9.30,9.31,17269
OPK,2016-10-20,11:35:00,9.30,9.31,9.28,9.29,16453
OPK,2016-10-20,11:40:00,9.29,9.32,9.28,9.32,17334
OPK,2016-10-20,11:45:00,9.32,9.34,9.31,9.32,32429
OPK,2016-10-20,11:50:00,9.33,9.35,9.33,9.35,20056
OPK,2016-10-20,11:55:00,9.35,9.35,9.34,9.35,9570
OPK,2016-10-20,12:00:00,9.35,9.35,9.32,9.33,13320
OPK,2016-10-20,12:05:00,9.32,9.32,9.30,9.30,8950
OPK,2016-10-20,12:10:00,9.30,9.32,9.30,9.32,12805
OPK,2016-10-20,12:15:00,9.32,9.32,9.31,9.32,6800
OPK,2016-10-20,12:20:00,9.32,9.32,9.27,9.28,17340
OPK,2016-10-20,12:25:00,9.28,9.28,9.27,9.28,7150
OPK,2016-10-20,12:30:00,9.28,9.31,9.27,9.31,17989
OPK,2016-10-20,12:35:00,9.31,9.33,9.30,9.33,9081
OPK,2016-10-20,12:40:00,9.33,9.33,9.32,9.33,5993
OPK,2016-10-20,12:45:00,9.33,9.33,9.31,9.31,18943
OPK,2016-10-20,12:50:00,9.31,9.32,9.29,9.29,27852
OPK,2016-10-20,12:55:00,9.29,9.29,9.28,9.28,9464
OPK,2016-10-20,13:00:00,9.29,9.29,9.28,9.29,13608
OPK,2016-10-20,13:05:00,9.29,9.31,9.29,9.31,14489
OPK,2016-10-20,13:10:00,9.32,9.34,9.31,9.32,18123
OPK,2016-10-20,13:15:00,9.32,9.32,9.31,9.32,6204
OPK,2016-10-20,13:20:00,9.32,9.32,9.30,9.31,16211
OPK,2016-10-20,13:25:00,9.30,9.31,9.30,9.31,3600
OPK,2016-10-20,13:30:00,9.31,9.32,9.30,9.32,9809
OPK,2016-10-20,13:35:00,9.32,9.32,9.30,9.30,25200
OPK,2016-10-20,13:40:00,9.31,9.31,9.29,9.29,5700
OPK,2016-10-20,13:45:00,9.30,9.30,9.29,9.29,4980
OPK,2016-10-20,13:50:00,9.29,9.31,9.28,9.31,21806
OPK,2016-10-20,13:55:00,9.32,9.32,9.30,9.31,12669
OPK,2016-10-20,14:00:00,9.31,9.32,9.30,9.32,15663
OPK,2016-10-20,14:05:00,9.32,9.33,9.30,9.32,19992
OPK,2016-10-20,14:10:00,9.32,9.37,9.32,9.37,50276
OPK,2016-10-20,14:15:00,9.37,9.39,9.37,9.39,28923
OPK,2016-10-20,14:20:00,9.39,9.40,9.35,9.36,31622
OPK,2016-10-20,14:25:00,9.35,9.38,9.35,9.38,29374
OPK,2016-10-20,14:30:00,9.38,9.38,9.36,9.38,31230
OPK,2016-10-20,14:35:00,9.37,9.39,9.37,9.39,39050
OPK,2016-10-20,14:40:00,9.39,9.42,9.37,9.41,101866
OPK,2016-10-20,14:45:00,9.40,9.44,9.40,9.44,44168
OPK,2016-10-20,14:50:00,9.44,9.44,9.41,9.42,43583
OPK,2016-10-20,14:55:00,9.42,9.43,9.41,9.42,76304
OPK,2016-10-20,15:00:00,9.42,9.48,9.42,9.45,487860
OPK,2016-10-21,08:30:00,9.39,9.39,9.39,9.39,17983
OPK,2016-10-21,08:35:00,9.37,9.39,9.33,9.37,40419
OPK,2016-10-21,08:40:00,9.36,9.41,9.34,9.41,22084
OPK,2016-10-21,08:45:00,9.41,9.43,9.38,9.41,25978
OPK,2016-10-21,08:50:00,9.42,9.44,9.40,9.40,21987
OPK,2016-10-21,08:55:00,9.40,9.42,9.39,9.41,16449
OPK,2016-10-21,09:00:00,9.41,9.41,9.39,9.40,17483
OPK,2016-10-21,09:05:00,9.39,9.39,9.35,9.36,19813
OPK,2016-10-21,09:10:00,9.36,9.38,9.34,9.35,27426
OPK,2016-10-21,09:15:00,9.36,9.36,9.31,9.32,22100
OPK,2016-10-21,09:20:00,9.33,9.37,9.32,9.35,30928
OPK,2016-10-21,09:25:00,9.34,9.36,9.32,9.34,39433
OPK,2016-10-21,09:30:00,9.34,9.36,9.34,9.36,13050
OPK,2016-10-21,09:35:00,9.36,9.40,9.36,9.40,19310
OPK,2016-10-21,09:40:00,9.39,9.39,9.36,9.36,23417
OPK,2016-10-21,09:45:00,9.37,9.39,9.37,9.39,9369
OPK,2016-10-21,09:50:00,9.38,9.40,9.37,9.38,17855
OPK,2016-10-21,09:55:00,9.37,9.40,9.37,9.40,15259
OPK,2016-10-21,10:00:00,9.39,9.39,9.36,9.37,13693
OPK,2016-10-21,10:05:00,9.37,9.38,9.36,9.37,19002
OPK,2016-10-21,10:10:00,9.37,9.39,9.37,9.38,27246
OPK,2016-10-21,10:15:00,9.39,9.39,9.38,9.38,20631
OPK,2016-10-21,10:20:00,9.38,9.40,9.38,9.38,29381
OPK,2016-10-21,10:25:00,9.38,9.40,9.38,9.38,18038
OPK,2016-10-21,10:30:00,9.38,9.39,9.38,9.39,6298
OPK,2016-10-21,10:35:00,9.38,9.39,9.38,9.38,9116
OPK,2016-10-21,10:40:00,9.38,9.39,9.38,9.39,8638
