symbol,date,time,open,high,low,close,volume
SGYP,2017-03-23,08:30:00,4.60,4.61,4.60,4.60,29746
SGYP,2017-03-23,08:35:00,4.60,4.60,4.52,4.54,187568
SGYP,2017-03-23,08:40:00,4.54,4.62,4.51,4.61,188715
SGYP,2017-03-23,08:45:00,4.60,4.62,4.56,4.56,164326
SGYP,2017-03-23,08:50:00,4.55,4.61,4.55,4.58,103956
SGYP,2017-03-23,08:55:00,4.58,4.61,4.57,4.58,95789
SGYP,2017-03-23,09:00:00,4.57,4.59,4.57,4.58,53956
SGYP,2017-03-23,09:05:00,4.57,4.58,4.53,4.54,334992
SGYP,2017-03-23,09:10:00,4.54,4.55,4.51,4.52,132207
SGYP,2017-03-23,09:15:00,4.52,4.54,4.51,4.52,75716
SGYP,2017-03-23,09:20:00,4.52,4.53,4.46,4.50,191969
SGYP,2017-03-23,09:25:00,4.50,4.51,4.50,4.50,30625
SGYP,2017-03-23,09:30:00,4.50,4.50,4.46,4.50,83426
SGYP,2017-03-23,09:35:00,4.49,4.53,4.49,4.51,78473
SGYP,2017-03-23,09:40:00,4.51,4.52,4.51,4.51,32192
SGYP,2017-03-23,09:45:00,4.51,4.53,4.51,4.52,91638
SGYP,2017-03-23,09:50:00,4.52,4.55,4.51,4.55,81852
SGYP,2017-03-23,09:55:00,4.55,4.55,4.51,4.51,85808
SGYP,2017-03-23,10:00:00,4.52,4.53,4.51,4.52,38568
SGYP,2017-03-23,10:05:00,4.52,4.53,4.51,4.52,31110
SGYP,2017-03-23,10:10:00,4.52,4.55,4.52,4.55,45229
SGYP,2017-03-23,10:15:00,4.55,4.58,4.54,4.56,85190
SGYP,2017-03-23,10:20:00,4.57,4.58,4.55,4.55,100935
SGYP,2017-03-23,10:25:00,4.55,4.56,4.54,4.54,51440
SGYP,2017-03-23,10:30:00,4.54,4.55,4.52,4.52,39806
SGYP,2017-03-23,10:35:00,4.53,4.54,4.50,4.53,104224
SGYP,2017-03-23,10:40:00,4.53,4.54,4.51,4.52,46553
SGYP,2017-03-23,10:45:00,4.52,4.53,4.51,4.51,48748
SGYP,2017-03-23,10:50:00,4.51,4.52,4.50,4.50,36946
SGYP,2017-03-23,10:55:00,4.50,4.51,4.49,4.50,43354
SGYP,2017-03-23,11:00:00,4.50,4.51,4.48,4.50,130215
SGYP,2017-03-23,11:05:00,4.50,4.50,4.49,4.50,54233
SGYP,2017-03-23,11:10:00,4.50,4.50,4.48,4.50,61535
SGYP,2017-03-23,11:15:00,4.50,4.52,4.49,4.49,34714
SGYP,2017-03-23,11:20:00,4.50,4.51,4.49,4.49,45086
SGYP,2017-03-23,11:25:00,4.50,4.51,4.49,4.49,23690
SGYP,2017-03-23,11:30:00,4.49,4.50,4.48,4.48,18702
SGYP,2017-03-23,11:35:00,4.48,4.52,4.48,4.51,57501
SGYP,2017-03-23,11:40:00,4.51,4.51,4.49,4.49,288128
SGYP,2017-03-23,11:45:00,4.50,4.50,4.49,4.49,14247
SGYP,2017-03-23,11:50:00,4.49,4.50,4.49,4.49,56498
SGYP,2017-03-23,11:55:00,4.49,4.50,4.49,4.49,15814
SGYP,2017-03-23,12:00:00,4.49,4.50,4.49,4.50,35827
SGYP,2017-03-23,12:05:00,4.49,4.50,4.48,4.48,63937
SGYP,2017-03-23,12:10:00,4.48,4.50,4.47,4.47,61659
SGYP,2017-03-23,12:15:00,4.47,4.50,4.46,4.48,95083
SGYP,2017-03-23,12:20:00,4.47,4.50,4.47,4.49,48961
SGYP,2017-03-23,12:25:00,4.48,4.51,4.48,4.48,55314
SGYP,2017-03-23,12:30:00,4.48,4.50,4.48,4.49,100805
SGYP,2017-03-23,12:35:00,4.49,4.52,4.49,4.50,35850
SGYP,2017-03-23,12:40:00,4.50,4.52,4.49,4.50,52439
